Character,season_count,AppearedSeasons,Status,Background
Carol Peletier,11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",Alive,"Originally a meek housewife, Carol overcomes domestic abuse to become a skilled, resourceful fighter capable of making difficult decisions.[30][31]"
Daryl Dixon,11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",Alive,"The group's primary hunter, Daryl becomes a key member of the group and Rick's trusted lieutenant.[28][29]"
Morgan Jones,11,"1, 3, 5, 6, 7, 8,4, 5, 6, 7, 8",Unknown,"The first survivor Rick encounters in the first season. After suffering a psychological breakdown, he comes to peace with the world around him.[60][61],A lonesome pragmatic man, formerly a part of Rick Grimes' group on The Walking Dead, who encounters the core group of survivors and leads a pacifist agenda.[29]"
Maggie Rhee,10,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11",Alive,"The eldest daughter of the Greene family, Maggie marries Glenn, becomes pregnant with their child and becomes the leader of the Hilltop Colony.[32][33]"
Rick Grimes,10,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11",Alive,"The series' former protagonist and a former sheriff's deputy, Rick is the leader of a group of survivors who becomes the leader of the Alexandria Safe Zone.[14][15]"
Michonne Grimes,9,"3, 4, 5, 6, 7, 8, 9, 10, 11",Alive,"A fierce, katana-wielding woman who joins Rick's group. Michonne eventually becomes Rick's romantic partner and a mother-figure to his son, Carl. She is also the mother-figure to Judith, daughter of Lori and Shane.[34][35]"
Alicia Clark,8,"1, 2, 3, 4, 5, 6, 7, 8",Alive,"The fiery yet compassionate daughter of Madison, and Nick's sister.[2][20]"
Eugene Porter,8,"4, 5, 6, 7, 8, 9, 10, 11",Alive,"A man who claims to know a cure for the walker virus, Eugene is cowardly and inefficient when dealing with walkers, but is very intelligent.[50][51]"
Victor Strand,8,"1, 2, 3, 4, 5, 6, 7, 8",Alive,"A smart and sophisticated conman-turned-businessman, who forms friendships with the Clark family.[24]"
Carl Grimes,8,"1, 2, 3, 4, 5, 6, 7, 8",Dead,Rick and Lori's young son. Carl is forced to mature and learn to survive in the deadly new post-apocalyptic world.[26][27]
Rosita Espinosa,8,"4, 5, 6, 7, 8, 9, 10, 11",Dead,"A tough, focused, and very capable survivor, and also Abraham's girlfriend.[50][52]"
Aaron,7,"5, 6, 7, 8, 9, 10, 11",Alive,A recruiter who invites Rick's group to Alexandria.[64][65]
Daniel Salazar,7,"1, 2, 3, 5, 6, 7, 8",Alive,"A courageous and pragmatic former Sombra Negra member, a barber, Griselda's husband, and Ofelia's father.[2][23]"
Gabriel Stokes,7,"5, 6, 7, 8, 9, 10, 11",Alive,A priest who joins Rick's group. He lacks experience with walkers and struggles with his faith in the new world.[58][59]
Luciana Galvez,7,"2, 3, 4, 5, 6, 7, 8",Alive,"A strong and cautious former member of the La Colonia community in Tijuana, Mexico, and Nick's girlfriend.[26]"
Glenn Rhee,7,"1, 2, 3, 4, 5, 6, 7",Dead,"A former pizza delivery boy who saved Rick's life. Glenn begins a relationship with Maggie Greene and later marries her. Over the course of the series, Glenn becomes an integral member of the group known for his character and resourcefulness.[24][25]"
Dwight,7,"6, 7, 8,5, 6, 7, 8",Unknown,"A ruthless and reluctant member of the Saviors who forms an intense rivalry with Daryl.[72][73],A ruthless and reluctant former lieutenant of the Saviors, who was exiled from Virginia by Rick's group on The Walking Dead and has travelled to Texas hoping to reunite with his ex-wife.[32]"
Madison Clark,6,"1, 2, 3, 4, 7, 8",Alive,"An intelligent and domineering guidance counselor, the mother of Nick and Alicia, and Travis' fiancée.[2][20][18]"
Negan Smith,6,"6, 7, 8, 9, 10, 11",Alive,"The totalitarian, sociopathic leader of the Saviors.[70][71]"
Sasha Williams,6,"3, 4, 5, 6, 7, 9",Dead,"Tyreese's fiery younger sister and a former firefighter, Sasha is the group's sharpshooter. After several personal losses, she suffers from PTSD.[45][46]"
Tara Chambler,6,"4, 5, 6, 7, 8, 9",Dead,A former police academy student and lesbian. Tara joins Rick's group after having initially been affiliated with the Governor. She serves as a primary supply runner.[53][54][55]
Ezekiel Sutton,5,"7, 8, 9, 10, 11",Alive,"The ""king"" of a community known as the Kingdom, Ezekiel is a former zookeeper with a pet Bengal tiger called Shiva.[78][79]"
Jerry,5,"7, 8, 9, 10, 11",Alive,A member of the Kingdom and Ezekiel's steward.[96][97]
June Dorie,5,"4, 5, 6, 7, 8",Alive,A kind and mysterious nurse encountered by Madison who has a history with John.[29]
Charlie,5,"4, 5, 6, 7, 8",Dead,A young girl who acts as a spy for the Vultures until she defects to Morgan's group.[30]
Enid,5,"5, 6, 7, 8, 9",Dead,An isolated teenager in Alexandria who forms a close bond with Carl.[82][83]
Althea Szewczyk-Przygocki,4,"4, 5, 6, 7",Alive,A curious and tactical journalist who encounters Morgan and John.[29]
Sarah Rabinowitz,4,"4, 5, 6, 7",Alive,The adoptive sister of Wendell and a former U.S. Marine.[33][34]
Sherry,4,"5, 6, 7, 8",Alive,Dwight's long-missing ex-wife who fled across the country to Texas after escaping the Saviors on The Walking Dead.[35]
Abraham Ford,4,"4, 5, 6, 7",Dead,"A former military sergeant on a mission to bring Eugene to Washington, D.C. to find a cure for the walker virus.[49][50]"
Alden,4,"8, 9, 10, 11",Dead,A former member of the Saviors who later switches his allegiance to the Hilltop.[86][87]
Beth Greene,4,"2, 3, 4, 5",Dead,"A soft-spoken teenage girl who enjoys singing, Beth is Hershel's younger daughter and Maggie's younger half-sister.[41][42]"
Grace Mukherjee,4,"5, 6, 7, 8",Dead,A former worker at a nuclear power plant that began melting down who encounters Morgan's group.[31]
Gregory,4,"6, 7, 8, 9",Dead,The selfish and treacherous leader of the Hilltop Colony.[76][77]
Hershel Greene,4,"2, 3, 4, 9",Dead,A veterinarian and farmer who maintains his faith and acts as the group's primary moral compass. Hershel is the father of Maggie and Beth Greene.[33][36]
Nicholas Clark,4,"1, 2, 3, 4",Dead,"A brave recovering heroin addict, Madison's son, and Alicia's brother.[2][3][20][21]"
Paul Rovia,4,"6, 7, 8, 9",Dead,A scout and member of the Hilltop Colony.[74][75]
Shane Walsh,4,"1, 2, 3, 9",Dead,"Rick's former police partner and best friend. In the second season, he forms an intense rivalry with Rick.[16][17]"
Connie,3,"9, 10, 11",Alive,A deaf member of Magna's group and Kelly's sister.[104][105]
Judith Grimes,3,"9, 10, 11",Alive,The biological daughter of Lori and Shane who was adopted by Rick after she was born.[100][101]
Kelly,3,"9, 10, 11",Alive,Connie's alert and protective sister who has a gradual hearing loss.[111]
Lydia,3,"9, 10, 11",Alive,Alpha's daughter and former Whisperer.[102][103]
Magna,3,"9, 10, 11",Alive,The feisty leader of a small group of roaming survivors and Yumiko's girlfriend.[98][99]
Maxxine Porter,3,"9, 10, 11",Alive,A resident of the Commonwealth who communicated with Eugene over the radio. She is also Mercer's younger sister.[110]
Yumiko Okumura,3,"9, 10, 11",Alive,Magna's girlfriend who is a proficient archer and former criminal defense lawyer.[94][95]
Andrea Harrison,3,"1, 2, 3",Dead,A former civil rights attorney and member of the original Atlanta group of survivors.[20][21]
John Dorie,3,"4, 5, 6",Dead,A lonely and friendly police officer whom Morgan encounters in Texas.[29]
