Character,season_count,AppearedSeasons,Background
Carol Peletier,11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11","Originally a meek housewife, Carol overcomes domestic abuse to become a skilled, resourceful fighter capable of making difficult decisions.[30][31]"
Daryl Dixon,11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11","The group's primary hunter, Daryl becomes a key member of the group and Rick's trusted lieutenant.[28][29]"
Maggie Rhee,10,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11","The eldest daughter of the Greene family, Maggie marries Glenn, becomes pregnant with their child and becomes the leader of the Hilltop Colony.[32][33]"
Rick Grimes,10,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11","The series' former protagonist and a former sheriff's deputy, Rick is the leader of a group of survivors who becomes the leader of the Alexandria Safe Zone.[14][15]"
Michonne Grimes,9,"3, 4, 5, 6, 7, 8, 9, 10, 11","A fierce, katana-wielding woman who joins Rick's group. Michonne eventually becomes Rick's romantic partner and a mother-figure to his son, Carl. She is also the mother-figure to Judith, daughter of Lori and Shane.[34][35]"
Alicia Clark,8,"1, 2, 3, 4, 5, 6, 7, 8","The fiery yet compassionate daughter of Madison, and Nick's sister.[2][20]"
Eugene Porter,8,"4, 5, 6, 7, 8, 9, 10, 11","A man who claims to know a cure for the walker virus, Eugene is cowardly and inefficient when dealing with walkers, but is very intelligent.[50][51]"
Victor Strand,8,"1, 2, 3, 4, 5, 6, 7, 8","A smart and sophisticated conman-turned-businessman, who forms friendships with the Clark family.[24]"
Aaron,7,"5, 6, 7, 8, 9, 10, 11",A recruiter who invites Rick's group to Alexandria.[64][65]
Daniel Salazar,7,"1, 2, 3, 5, 6, 7, 8","A courageous and pragmatic former Sombra Negra member, a barber, Griselda's husband, and Ofelia's father.[2][23]"
Gabriel Stokes,7,"5, 6, 7, 8, 9, 10, 11",A priest who joins Rick's group. He lacks experience with walkers and struggles with his faith in the new world.[58][59]
Luciana Galvez,7,"2, 3, 4, 5, 6, 7, 8","A strong and cautious former member of the La Colonia community in Tijuana, Mexico, and Nick's girlfriend.[26]"
Madison Clark,6,"1, 2, 3, 4, 7, 8","An intelligent and domineering guidance counselor, the mother of Nick and Alicia, and Travis' fiancée.[2][20][18]"
Negan Smith,6,"6, 7, 8, 9, 10, 11","The totalitarian, sociopathic leader of the Saviors.[70][71]"
Ezekiel Sutton,5,"7, 8, 9, 10, 11","The ""king"" of a community known as the Kingdom, Ezekiel is a former zookeeper with a pet Bengal tiger called Shiva.[78][79]"
Jerry,5,"7, 8, 9, 10, 11",A member of the Kingdom and Ezekiel's steward.[96][97]
June Dorie,5,"4, 5, 6, 7, 8",A kind and mysterious nurse encountered by Madison who has a history with John.[29]
Althea Szewczyk-Przygocki,4,"4, 5, 6, 7",A curious and tactical journalist who encounters Morgan and John.[29]
Sarah Rabinowitz,4,"4, 5, 6, 7",The adoptive sister of Wendell and a former U.S. Marine.[33][34]
Sherry,4,"5, 6, 7, 8",Dwight's long-missing ex-wife who fled across the country to Texas after escaping the Saviors on The Walking Dead.[35]
Connie,3,"9, 10, 11",A deaf member of Magna's group and Kelly's sister.[104][105]
Judith Grimes,3,"9, 10, 11",The biological daughter of Lori and Shane who was adopted by Rick after she was born.[100][101]
Kelly,3,"9, 10, 11",Connie's alert and protective sister who has a gradual hearing loss.[111]
Lydia,3,"9, 10, 11",Alpha's daughter and former Whisperer.[102][103]
Magna,3,"9, 10, 11",The feisty leader of a small group of roaming survivors and Yumiko's girlfriend.[98][99]
Maxxine Porter,3,"9, 10, 11",A resident of the Commonwealth who communicated with Eugene over the radio. She is also Mercer's younger sister.[110]
Yumiko Okumura,3,"9, 10, 11",Magna's girlfriend who is a proficient archer and former criminal defense lawyer.[94][95]
Juanita Sanchez,2,"10, 11",A quirky and flamboyant survivor who has suffered various traumas in her past and later joins Eugene's group.[106]
Michael Mercer,1,11,A resident of the Commonwealth who serves as the general of the Commonwealth military.[107]
Pamela Milton,1,11,The governor of the Commonwealth.[109]
